,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),Ithaca is Gorges (7-6),.4894,.6421,46,224,101,26,15,59,477,1-8-0
JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),Center City ABDs (5-8),.4955,.7907,62,159,117,29,16,55,602,8-1-0
JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),Nerlens Jazz (3-10),.4725,.7685,40,145,87,27,19,49,467,2-6-1
JaVale Vindicated Scoreboard Matchup 8 (Dec 4 - 10),Team Rocket (8-5),.4480,.7232,53,187,106,33,19,45,522,6-2-1

,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),The Dazzling Lobcity Stars (3-10),.4679,.7000,38,131,73,23,18,42,379,4-5-0
JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),Team Orbs (7-6),.4331,.7068,21,206,124,28,12,50,445,5-4-0
JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),Old City Irony (8-5),.4667,.7652,44,197,84,36,16,48,537,8-1-0
JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),Too Easy (9-4),.4568,.8621,27,89,79,7,9,50,299,1-8-0
JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),Players Only Meeting (8-4-1),.4656,.8542,54,154,84,24,29,62,433,6-3-0
JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),The Real Power (7-6),.4716,.7579,34,144,136,22,17,55,422,3-6-0
JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),Center City ABDs (5-8),.4325,.8387,46,134,99,28,11,40,438,2-7-0
JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),Da Bulter is in Town (7-5-1),.4347,.7521,53,174,105,38,13,61,490,7-2-0
JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),Team Rocket (8-5),.4672,.7248,37,200,116,42,24,55,458,7-2-0
JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),Mr Steal  Your Ball (4-7-2),.4500,.7568,44,145,80,27,17,77,424,2-7-0
JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),Nerlens Jazz (3-10),.4441,.8276,32,135,93,25,13,61,414,1-7-1
JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),Ithaca is Gorges (7-6),.4472,.7041,47,187,111,38,27,61,438,7-1-1

,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),Too Easy (9-4),.4514,.7732,63,188,121,38,22,80,528,8-1-0
JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),The Dazzling Lobcity Stars (3-10),.4098,.6951,24,155,82,27,13,35,349,1-8-0
JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),Players Only Meeting (8-4-1),.4518,.7778,59,173,89,44,20,58,499,5-4-0
JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),Old City Irony (8-5),.4932,.8193,45,185,114,25,14,63,473,4-5-0
JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),The Real Power (7-6),.4812,.8095,40,122,111,27,14,60,466,4-5-0
JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),Center City ABDs (5-8),.4789,.8750,48,130,106,25,16,43,465,5-4-0
JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),Team Orbs (7-6),.5442,.8131,30,199,106,27,20,63,499,5-4-0
JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),Team Rocket (8-5),.4754,.7647,45,153,107,26,21,60,484,4-5-0
JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),Da Bulter is in Town (7-5-1),.4524,.8018,55,173,105,30,22,70,486,5-4-0
JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),Nerlens Jazz (3-10),.4678,.8493,37,152,74,23,19,44,495,4-5-0
JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),Mr Steal  Your Ball (4-7-2),.4429,.7711,22,130,80,30,14,43,334,1-7-1
JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),Ithaca is Gorges (7-6),.4653,.8194,53,170,103,30,17,71,420,7-1-1

,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),Old City Irony (8-5),.4883,.7750,32,172,81,21,27,61,501,5-4-0
