"Week Name","Matchup Number","NAME","FG%","FT%","3PM","REB","AST","STL","BLK","TO","PTS","SCORE"
"JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24)","2","Players Only Meeting (13-5-1)",".4518",".7778","59","173","89","44","20","58","499","5-4-0"
"JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24)","2","Old City Irony (11-7-1)",".4932",".8193","45","185","114","25","14","63","473","4-5-0"
"JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24)","3","The Real Power (11-8)",".4812",".8095","40","122","111","27","14","60","466","4-5-0"
"JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24)","3","Center City ABDs (7-12)",".4789",".8750","48","130","106","25","16","43","465","5-4-0"
"JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24)","4","Team Orbs (11-8)",".5442",".8131","30","199","106","27","20","63","499","5-4-0"
"JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24)","4","Team Rocket (13-6)",".4754",".7647","45","153","107","26","21","60","484","4-5-0"
"JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24)","5","Da Bulter is in Town (9-9-1)",".4524",".8018","55","173","105","30","22","70","486","5-4-0"
"JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24)","5","Nerlens Jazz (5-13-1)",".4678",".8493","37","152","74","23","19","44","495","4-5-0"
"JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24)","6","Mr Steal  Your Ball (8-9-2)",".4429",".7711","22","130","80","30","14","43","334","1-7-1"
"JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24)","6","Ithaca is Gorges (9-10)",".4653",".8194","53","170","103","30","17","71","420","7-1-1"
"JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31)","1","Old City Irony (11-7-1)",".4883",".7750","32","172","81","21","27","61","501","5-4-0"
"JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31)","1","The Dazzling Lobcity Stars (4-15)",".4895",".6737","44","125","83","15","15","46","434","4-5-0"
"JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31)","2","Center City ABDs (7-12)",".4110",".8208","59","141","104","24","14","60","474","3-6-0"
"JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31)","2","Players Only Meeting (13-5-1)",".4748",".8189","68","171","97","28","35","64","586","6-3-0"
"JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31)","3","Team Rocket (13-6)",".4613",".7174","43","157","95","21","14","43","431","2-7-0"
"JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31)","3","Too Easy (10-9)",".4409",".7500","66","208","155","26","24","85","562","7-2-0"
"JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31)","4","Nerlens Jazz (5-13-1)",".4886",".8841","42","160","103","35","19","58","508","7-2-0"
"JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31)","4","The Real Power (11-8)",".4710",".7816","23","159","104","29","12","47","383","2-7-0"
"JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31)","5","Ithaca is Gorges (9-10)",".5140",".7900","57","218","148","37","35","61","540","7-2-0"
"JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31)","5","Team Orbs (11-8)",".4909",".8175","31","177","103","22","14","51","512","2-7-0"
"JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31)","6","Mr Steal  Your Ball (8-9-2)",".4708",".8267","35","152","85","27","18","32","371","4-4-1"
"JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31)","6","Da Bulter is in Town (9-9-1)",".4225",".7955","49","128","91","28","18","40","470","4-4-1"
"JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7)","1","The Dazzling Lobcity Stars (4-15)",".4406",".7407","30","135","71","29","16","46","342","3-6-0"
"JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7)","1","Team Rocket (13-6)",".4497",".7912","39","146","113","23","14","53","415","6-3-0"
